#,Workflow Task,Element ID,Data Element,Description/Definition,Use Case,Clinical Information Group,Data Type,Source,Examples,Required?,Conditional?,Occurance,Code System / Annotation (e.g. SNOMED),CDG Comments,CDG Status,FHIR Profile,PH CORE IG,Existing External FHIR Profile,FHIR Element (R4),FHIR Cardinality (local),FHIR Data Type,Remarks,Value Set,TDG Status,TDG Comments,Open Questions,JL Comment
,Attach Clinical Summary,REF-35,Vital Signs – Respiratory Rate,Resp rate,,07 Clinical Information,Numeric,,,No,,,,,,Provenance,,,Provenance.occurredDateTime,0..1,dateTime,,—,,,,
,Attach Clinical Summary,REF-36,Vital Signs – Oxygen Saturation,SpO2,,07 Clinical Information,Numeric,,,No,,,,,,referred),,,Task,Task.status (accepted) + Task.note,0..1,code/Annotation,ValueSet: ReferralAction (received,,,,
,Attach Clinical Summary,REF-37,Vital Signs – Temperature,Body temperature,,07 Clinical Information,Numeric,,,No,,,,,,Task,,,New Task (owner=next facility) + Task.basedOn,0..*,Reference/code,Create another Task; link via basedOn or partOf.,ValueSet: ReferralAction,,,,
,Attach Clinical Summary,REF-38,Vital Signs – Weight,Weight (kg),,07 Clinical Information,Numeric,,,No,,,,,,DocumentReference,,,DocumentReference.type=”back-referral” + content.attachment,0..*,Attachment,Can also send as Communication to PCP.,—,,,,
,Attach Clinical Summary,REF-39,Treatment Given,Stabilization procedures/meds,Pregnancy,07 Clinical Information,,,,No,,,,,,Encounter,,,"Encounter.class, period, serviceType",1..1,Encounter,Reference from Observations/Procedures.,—,,,,
,Attach Clinical Summary,REF-40,Laboratory Results (attachments),Labs supporting the referral,Pregnancy,07 Clinical Information,,,,No,,,,,,Encounter,,,"Encounter.class, period",0..1,Encounter,Created on arrival/acceptance.,—,,,,
,Assess Patient,REF-41,Working Impression (clinical reason),Provisional diagnosis/assessment motivating referral,Generic,07 Clinical Information,,,,Yes,,,,,,Task,,,Task.extension(transportMode) or Task.note,0..*,CodeableConcept/string,"If you keep a formal extension, bind to local VS.",ValueSet: TransportMode,,,,
,,REF-42,Transport Mode / Ambulance,How patient was transported,,Logistics,,,,No,,,,,,Communication,,,Communication.category + medium + note,0..*,CodeableConcept/string,Supports auditability of contact attempts.,ValueSet: ContactChannel,,,,
,Triage Referral,REF-43,Response,"Referral outcome, that will be sent back to Sender",Generic,Referral Decision,,,,Yes,,,,,,PractitionerRole,,,PractitionerRole.code (navigator),0..*,CodeableConcept,If you track navigators explicitly.,—,,,,
,,REF-44,Referring Encounter,The encounter context at initiating facility,,System/Back,,,,Yes,,,,,,PractitionerRole,,,PractitionerRole.code (navigator),0..*,CodeableConcept,,—,,,,
,,REF-45,Receiving Encounter,The encounter context at receiving facility,,System/Back,,,,No,,,,,,Patient,,,Patient.extension(pddRegistration),0..1,Extension,If your PH-Core defines this extension.,ph-core-pdd-registration,,,,
,Route Referral???,REF-46,Navigator (Receiving/PHU),Name/role of receiving navigator,,,,,,No,,,,,,,,,,,,,,,,,
,Route Referral???,REF-47,Navigator (Referring),Name/role of referring navigator,,,,,,No,,,,,,,,,,,,,,,,,
,,,"This is row for pregnancy data elements such as; 

Gravidity and parity? 
Fundal Height
Immunisation Hx??? Rubella
what else? 
Split each as individual concept",,Pregnancy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
