URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir.doh.gov.ph/pheref/CodeSystem/ereferral-workflow,0.3.1,draft,,EReferralWorkflowCS,eReferral Workflow Code System,"Local workflow codes for Philippine eReferral receiving-facility responses and related referral coordination events.",
https://fhir.doh.gov.ph/pheref/CodeSystem/pwd-disability-type-cs,0.3.1,draft,,PWDDisabilityTypeCS,PWD Disability Type Code System,"Code system for types of disability as defined by the Philippine government for PWD registration.",
